,Date,ARIMA,UCM,ML
0,2015-04-01,3.8664673531448828,4.10559369815255,53.183485696626796
1,2015-04-02,4.136905163364405,4.032670186973382,62.82948336333639
2,2015-04-03,4.152169222218668,3.9720318022092904,50.60865069050212
3,2015-04-04,0.9336568822152623,1.568788730197998,7.061094161031824
4,2015-04-05,0.9196689440482887,1.3145950796308705,38.8471830569535
5,2015-04-06,3.9012240260691082,4.66129131906761,62.79620569937301
6,2015-04-07,4.082852976759119,4.3856762322594065,49.9767023269889
7,2015-04-08,3.9343039907827335,4.2070123395120875,43.216660519291096
8,2015-04-09,3.7011019520543846,4.055221617704573,47.893522424884424
9,2015-04-10,4.190906894658969,3.9051745651301215,48.25225044998112
10,2015-04-11,-0.19388740398560067,-0.14526524941406363,3.4947425666172025
11,2015-04-12,3.4430965862615075,3.057497134682381,9.435455486542445
12,2015-04-13,3.8831271581731213,3.8644396623584156,54.3472406263977
13,2015-04-14,3.3362963129339094,3.683406389452644,44.70164910809448
14,2015-04-15,3.6305456500825053,3.530828496074392,42.489667214934336
15,2015-04-16,3.9800980396957573,4.152354499944366,45.65799996778661
16,2015-04-17,3.8296903629213697,3.61297437645518,41.427149413615815
17,2015-04-18,1.0894613981414338,1.0418801431327973,4.52016068802434
18,2015-04-19,3.5011517333095634,3.506655830209593,8.484561766735679
19,2015-04-20,3.5399501208009436,3.58952281134465,55.79065004459895
20,2015-04-21,3.8550609878479607,4.282494194661382,45.43179512627987
21,2015-04-22,4.359149142185126,4.429506721479937,44.08203395836469
22,2015-04-23,3.852972497186852,4.225210604199919,47.635157040652714
23,2015-04-24,3.5274289287087477,3.90760364354603,38.02072653726184
24,2015-04-25,0.05663773096679721,0.05659396048359513,3.8383875745470966
25,2015-04-26,3.602479760512168,3.276329462153161,31.06110175438596
26,2015-04-27,4.393744095556742,4.081355880093439,53.02702551619726
27,2015-04-28,3.701803117743973,3.9222433909172447,45.465411081578786
28,2015-04-29,3.9399183568975125,4.360813148157852,42.663689650754165
29,2015-04-30,4.220744798953433,4.302993849036135,44.58503700628505
30,2015-05-01,4.094859548156798,4.232479730371331,46.71872182769376
31,2015-05-02,1.1468466676775937,1.794758601602636,21.705997534164958
32,2015-05-03,0.8758060096166597,1.4897207329911764,51.39194861535078
33,2015-05-04,3.9163892260064137,4.783837488606646,89.52984636510604
34,2015-05-05,3.983615259990517,4.470418227035247,68.97092823144763
35,2015-05-06,3.7213006405063127,4.281156696526667,53.92518590560731
36,2015-05-07,3.7297564672476926,4.149465887597111,50.44456973853851
37,2015-05-08,4.103494999992452,4.04324345972969,41.061120876550156
38,2015-05-09,-0.06965314044632359,0.045514922619464555,2.501410028363962
39,2015-05-10,3.511047647638518,3.2927911525553726,8.544657894736842
40,2015-05-11,3.9120791798202807,4.12290310471516,50.84160457348176
41,2015-05-12,3.500699358735055,3.9386356857273586,41.91201247450912
42,2015-05-13,3.637802057473129,3.760077947183205,40.02688244441612
43,2015-05-14,4.118686714361577,4.3426001128201985,43.09039830504555
44,2015-05-15,3.8209997238679945,3.762708741084525,39.89711154482084
45,2015-05-16,1.0276949750154987,1.1591125528688149,5.631039734241249
46,2015-05-17,3.4931332968597615,3.6049935413759795,11.049235775837468
47,2015-05-18,3.4255538986483676,3.6843242830259473,53.00319098979195
48,2015-05-19,3.9163524779163925,4.388118785228178,44.073833576886884
49,2015-05-20,4.344096608220269,4.557453393044861,41.531739179037075
50,2015-05-21,3.880235337256163,4.382321861603417,43.6363777224569
51,2015-05-22,3.5985928506103546,4.093897770474258,35.19130921132723
52,2015-05-23,0.061696005678695966,0.2633383825555273,7.7245787975066005
53,2015-05-24,3.753468086536493,3.4858424929715386,20.72246010711343
54,2015-05-25,4.451159694271701,4.26993781553011,52.13109045869978
55,2015-05-26,3.7787079655854474,4.066391777817665,44.945641549506924
56,2015-05-27,3.957203440181286,4.445041863014905,42.2103290388699
57,2015-05-28,4.119430917675462,4.326200553203925,43.7984240467641
58,2015-05-29,4.054517104279692,4.209811385908019,39.59150921865652
59,2015-05-30,1.018627203371707,1.753531513292309,39.067480366109834
60,2015-05-31,0.8372278072686251,1.4604932007641356,211.87789680495115
61,2015-06-01,3.897189448569959,4.789971716769713,65.3819614761659
62,2015-06-02,3.9788894811274207,4.5202526909475464,55.9453918083754
63,2015-06-03,3.8318509865164936,4.365808011939649,54.179166022809895
64,2015-06-04,3.7991957926258673,4.246822196308034,58.31735266927154
65,2015-06-05,4.246546245966739,4.126114722023858,41.81860187796414
